CANDIDATO_CODIGO,CANDIDATO_NOMBRE,OP_CODIGO,DIGNIDAD_CODIGO,DIGNIDAD_NOMBRE,PROVINCIA_CODIGO,PROVINCIA_NOMBRE,CANTON_CODIGO,CANTON_NOMBRE,CIRCUNSCRIPCION_CODIGO,CICUNSCRIPCION_NOMBRE,CIRCUNSCRIPCION,PARROQUIA_CODIGO,PARROQUIA_NOMBRE,JUNTA_SEXO,SUFRAGANTES,BLANCOS,NULOS,VOTOS
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,105.0,PUJILI,0.0,0.0,,2865.0,PILALO,F,796.0,212.0,81.0,192.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,105.0,PUJILI,0.0,0.0,,2865.0,PILALO,M,762.0,168.0,88.0,185.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,105.0,PUJILI,0.0,0.0,,4015.0,TINGO,F,1187.0,235.0,184.0,230.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,105.0,PUJILI,0.0,0.0,,4015.0,TINGO,M,1257.0,211.0,140.0,274.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,105.0,PUJILI,0.0,0.0,,4365.0,ZUMBAHUA,F,5692.0,1731.0,745.0,941.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,105.0,PUJILI,0.0,0.0,,4365.0,ZUMBAHUA,M,5010.0,1040.0,499.0,928.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,105.0,PUJILI,0.0,0.0,,5820.0,PUJILI,F,15150.0,1501.0,2166.0,4825.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,105.0,PUJILI,0.0,0.0,,5820.0,PUJILI,M,13323.0,1005.0,1893.0,4335.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,110.0,SALCEDO,0.0,0.0,,135.0,ANTONIO J. HOLGUIN,F,1130.0,192.0,137.0,293.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,110.0,SALCEDO,0.0,0.0,,135.0,ANTONIO J. HOLGUIN,M,911.0,135.0,123.0,227.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,110.0,SALCEDO,0.0,0.0,,745.0,CUSUBAMBA,F,2796.0,760.0,371.0,402.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,110.0,SALCEDO,0.0,0.0,,745.0,CUSUBAMBA,M,2528.0,407.0,311.0,450.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,110.0,SALCEDO,0.0,0.0,,2475.0,MULALILLO,F,2850.0,550.0,315.0,851.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,110.0,SALCEDO,0.0,0.0,,2475.0,MULALILLO,M,2388.0,309.0,276.0,752.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,110.0,SALCEDO,0.0,0.0,,2490.0,MULLIQUINDIL,F,2674.0,441.0,315.0,621.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,110.0,SALCEDO,0.0,0.0,,2490.0,MULLIQUINDIL,M,2518.0,293.0,277.0,691.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,110.0,SALCEDO,0.0,0.0,,2760.0,PANZALEO,F,1369.0,190.0,178.0,368.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,110.0,SALCEDO,0.0,0.0,,2760.0,PANZALEO,M,1063.0,116.0,187.0,284.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,110.0,SALCEDO,0.0,0.0,,6000.0,SAN MIGUEL DE SALCEDO,F,14349.0,1928.0,1881.0,3838.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,110.0,SALCEDO,0.0,0.0,,6000.0,SAN MIGUEL DE SALCEDO,M,12850.0,1176.0,1798.0,3767.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,115.0,SAQUISILI,0.0,0.0,,465.0,CANCHAGUA,F,783.0,177.0,91.0,216.0
